date,home_team,away_team,home_score,away_score,tournament,country,neutral,shootout_winner,first_shooter,match_outcome,home_elo_pre,away_elo_pre
1895-03-30,Scotland,Northern Ireland,3.0,1.0,British Home Championship,Scotland,False,,,Home Win,1632.3691789274192,1333.9685974984081
1895-04-06,England,Scotland,3.0,0.0,British Home Championship,England,False,,,Home Win,1631.9047115662654,1634.202636344099
1896-02-29,Wales,Northern Ireland,6.0,1.0,British Home Championship,Wales,False,,,Home Win,1403.9810624545612,1332.1351400817284
1896-03-07,Northern Ireland,England,0.0,2.0,British Home Championship,Ireland,False,,,Away Win,1326.7138350534522,1639.1644732446514
1896-03-16,Wales,England,1.0,9.0,British Home Championship,Wales,False,,,Away Win,1409.4023674828375,1643.7127778536858
1896-03-21,Scotland,Wales,4.0,0.0,British Home Championship,Scotland,False,,,Home Win,1626.942874665713,1403.0864180482167
1896-03-28,Northern Ireland,Scotland,3.0,3.0,British Home Championship,Ireland,False,,,Draw,1322.1655304444178,1629.6270026805034
1896-04-04,Scotland,England,2.0,1.0,British Home Championship,Scotland,False,,,Home Win,1624.2770170312522,1650.0287272883065
1897-02-20,England,Northern Ireland,6.0,0.0,British Home Championship,England,False,,,Home Win,1642.133816024756,1327.515516093669
1897-03-06,Northern Ireland,Wales,4.0,3.0,British Home Championship,Ireland,False,,,Home Win,1325.83171921095,1400.4022900334262
1897-03-20,Wales,Scotland,2.0,2.0,British Home Championship,Wales,False,,,Draw,1391.1329036646068,1632.1719282948027
1897-03-27,Scotland,Northern Ireland,5.0,1.0,British Home Championship,Scotland,False,,,Home Win,1628.3217036912774,1335.1011055797694
1897-03-29,England,Wales,4.0,0.0,British Home Championship,England,False,,,Home Win,1643.817612907475,1394.983128268132
1897-04-03,England,Scotland,1.0,2.0,British Home Championship,England,False,,,Away Win,1646.1848134735915,1630.2054283284924
1898-02-19,Wales,Northern Ireland,0.0,1.0,British Home Championship,Wales,False,,,Away Win,1392.6159277020156,1333.2173809425544
1898-03-05,Northern Ireland,England,2.0,3.0,British Home Championship,Ireland,False,,,Away Win,1347.5083226177044,1632.9653634825406
1898-03-19,Scotland,Wales,5.0,2.0,British Home Championship,Scotland,False,,,Home Win,1643.4248783195433,1378.3249860268656
1898-03-26,Northern Ireland,Scotland,0.0,3.0,British Home Championship,Ireland,False,,,Away Win,1342.3910379861088,1645.603543528332
1898-03-28,Wales,England,0.0,3.0,British Home Championship,Wales,False,,,Away Win,1376.146320818077,1638.0826481141362
1898-04-02,Scotland,England,1.0,3.0,British Home Championship,Scotland,False,,,Away Win,1650.3414197259056,1643.7322993411979
1899-02-18,England,Northern Ireland,13.0,2.0,British Home Championship,England,False,,,Home Win,1656.7079474661061,1337.6531617885353
1899-03-04,Northern Ireland,Wales,1.0,0.0,British Home Championship,Ireland,False,,,Home Win,1336.008330299126,1370.4966695910152
1899-03-18,Wales,Scotland,0.0,6.0,British Home Championship,Wales,False,,,Away Win,1362.3602134427942,1637.3657716009973
1899-03-20,England,Wales,4.0,0.0,British Home Championship,England,False,,,Home Win,1658.3527789555153,1357.0104846205068
1899-03-25,Scotland,Northern Ireland,9.0,1.0,British Home Championship,Scotland,False,,,Home Win,1642.7155004232848,1344.144786447347
1899-04-08,England,Scotland,2.0,1.0,British Home Championship,England,False,,,Home Win,1660.1582293992892,1644.547327483613
1900-02-03,Scotland,Wales,5.0,2.0,British Home Championship,Scotland,False,,,Home Win,1637.75726770737,1355.2050341767329
1900-02-24,Wales,Northern Ireland,2.0,0.0,British Home Championship,Wales,False,,,Home Win,1353.213878319418,1342.312959387019
1900-03-03,Northern Ireland,Scotland,0.0,3.0,British Home Championship,Ireland,False,,,Away Win,1335.400779626537,1639.7484235646848
1900-03-17,Northern Ireland,England,0.0,2.0,British Home Championship,Ireland,False,,,Away Win,1330.686487872818,1666.9482891755322
1900-03-26,Wales,England,1.0,1.0,British Home Championship,Wales,False,,,Draw,1360.1260580798998,1671.0329903788083
1900-04-07,Scotland,England,4.0,1.0,British Home Championship,Scotland,False,,,Home Win,1644.462715318404,1665.6125965730635
1901-02-23,Scotland,Northern Ireland,11.0,0.0,British Home Championship,Scotland,False,,,Home Win,1652.2314040575259,1326.6017866695418
1901-03-02,Wales,Scotland,1.0,1.0,British Home Championship,Wales,False,,,Draw,1365.5464518856447,1653.8199980359275
1901-03-09,England,Northern Ireland,3.0,0.0,British Home Championship,England,False,,,Home Win,1657.8439078339416,1325.0131926911401
1901-03-18,England,Wales,6.0,0.0,British Home Championship,England,False,,,Home Win,1659.3729277821415,1370.4906612783673
1901-03-23,Northern Ireland,Wales,0.0,1.0,British Home Championship,Ireland,False,,,Away Win,1323.4841727429402,1368.5638903421705
1901-03-30,England,Scotland,2.0,2.0,British Home Championship,England,False,,,Draw,1661.2996987183383,1648.875788643205
1902-02-22,Wales,Northern Ireland,0.0,3.0,British Home Championship,Wales,False,,,Away Win,1380.1315874029333,1311.9164756821774
1902-03-01,Northern Ireland,Scotland,1.0,5.0,British Home Championship,Ireland,False,,,Away Win,1326.412181957151,1652.003210708052
1902-03-03,Wales,England,0.0,0.0,British Home Championship,Wales,False,,,Draw,1365.6358811279597,1658.1722766534913
1902-03-15,Scotland,Wales,5.0,1.0,British Home Championship,Scotland,False,,,Home Win,1656.2912038968288,1370.672228664225
1902-03-22,Northern Ireland,England,0.0,1.0,British Home Championship,Ireland,False,,,Away Win,1322.124188768374,1653.135929117226
1902-05-03,England,Scotland,2.0,2.0,British Home Championship,England,False,,,Draw,1657.3197434522206,1658.2509312678076
1902-07-20,Uruguay,Argentina,0.0,6.0,Friendly,Uruguay,False,,,Away Win,1500.0,1500.0
1902-10-12,Austria,Hungary,5.0,0.0,Friendly,Austria,False,,,Home Win,1500.0,1500.0
1903-02-14,England,Northern Ireland,4.0,0.0,British Home Championship,England,False,,,Home Win,1654.5431604862285,1317.9403744333795
1903-03-02,England,Wales,2.0,1.0,British Home Championship,England,False,,,Home Win,1656.0417984703647,1368.7125012932463
1903-03-09,Wales,Scotland,0.0,1.0,British Home Championship,Wales,False,,,Away Win,1366.7701089001241,1661.0275142337996
1903-03-21,Scotland,Northern Ireland,0.0,2.0,British Home Championship,Scotland,False,,,Away Win,1665.9542887175767,1316.4417364492433
1903-03-28,Northern Ireland,Wales,2.0,0.0,British Home Championship,Ireland,False,,,Home Win,1335.0429245926396,1361.843334416347
1903-04-04,England,Scotland,1.0,2.0,British Home Championship,England,False,,,Away Win,1657.984190863487,1647.3531005741804
1903-04-05,Hungary,Czechoslovakia,2.0,1.0,Friendly,Hungary,False,,,Home Win,1496.400649998029,1500.0
1903-06-11,Hungary,Austria,3.0,2.0,Friendly,Hungary,False,,,Home Win,1500.0478712253757,1503.599350001971
1903-09-13,Argentina,Uruguay,2.0,3.0,Friendly,Argentina,False,,,Away Win,1506.400649998029,1493.599350001971
1903-10-11,Austria,Hungary,4.0,2.0,Friendly,Austria,False,,,Home Win,1499.9527672437312,1503.6944539836156
1904-02-29,Wales,England,2.0,2.0,British Home Championship,Wales,False,,,Draw,1353.919558473318,1644.903398112887
1904-03-12,Northern Ireland,England,1.0,3.0,British Home Championship,Ireland,False,,,Away Win,1342.9667005356687,1639.90047718172
